Comment,Author,Date
Muito legal!,Andrea Neri Lobo,2021-03-22T17:27:12Z
⁰0,luciane1222 machado,2021-03-22T09:05:38Z
choreeei,Vika Araújo,2021-03-14T21:20:51Z
Velho! Esse vídeo me fez chorar muitoooo na época que saiu e até hoje ouço essa música e lembro de você! :((( &lt;3,maithealencar,2021-02-18T20:16:56Z
"Já vi esse vídeo umas 5 vezes,  muito legal",Arcosulcapixaba arcos artesanais,2021-02-11T16:10:37Z
Arrepiei &lt;3,Bella Diagramação,2021-01-23T22:22:23Z
Que lindo Cá😭❤️❤️,Cleo A,2021-01-23T12:11:48Z
Maravilhosa...camila..o seu trabalho..parabéns..felicidades,zah youtube axadossantosdeoliveira,2021-01-20T22:18:19Z
caiu um cisco aqui... :~~,Jokasta Peixoto,2021-01-17T21:17:13Z
As fotos no final acabou comigo 🥺,Laysla Monik,2021-01-17T19:27:41Z
"Chorei q video emocionante, nem todos americanos são secos ,vc conviveu com os q fazem a diferença na América, amo seus vídeos",coisas de Josi,2021-01-13T08:41:19Z
"Então, chorei... vídeo lindo demais!!! 💖✨",Elisete Moura,2021-01-03T21:41:56Z
"Muito legal, Imagino o nervosismo 😅",Elisabete Secundino dos santos carmo,2020-12-26T22:15:08Z
Pensei que era a família louca :v,Camaleonino #,2020-12-26T06:46:20Z
Muito lindo esses reencontro,Joao Nene,2020-12-24T07:34:33Z
Chorando 😭 Aqui!,Hilton Leal,2020-12-13T10:01:55Z
"Muito lindo, adorei esse vídeo!❤️❤️❤️",Hilton Leal,2020-12-13T09:56:41Z
Em 2020 e eu morrendo chorar com esse vídeo,Geovanna B Neto,2020-12-11T01:10:39Z
alguem sabe o nome da  musica do começo quando ela ta no aviao ?,Pedro Victor,2020-12-10T19:51:03Z
Se as pessoas entendesse que a vida é feita de encontro... Não trataria mal ninguém pq um dia podemos voltar e ser essa emoção.  Isso que vale a pena!  O resto são só detalhes!,IVONE 3JULIAS,2020-12-07T00:57:37Z
A galera que recebe esses estudantes ganha dinheiro e o lance vicia $$$$$,AC BC,2020-12-06T19:34:32Z
revendo esse vídeo que eu amo!!! você já parece naturalmente uma menina de 18 anos mas nesse vídeo tá demaisssss kkkkkkkkk,Mayra Campos,2020-12-05T04:58:51Z
O FINAL COM a música do Beatles. Eu chorei scr,Daniele Jenner,2020-12-04T18:44:10Z
Aí chorei na hora do encontro AAA,Daniele Jenner,2020-12-04T18:38:07Z
kkkkkkkkkkkkkkkkk a risada da moça,Marcelo Ribeiro,2020-12-04T15:45:22Z
Assistindo pela 10° vez kkkkk,Kaio Fernandes,2020-12-03T16:35:41Z
"Cheguei aqui no seu canal de paraquedas.<br>Camila, você é uma fofa!!! Me emocionei de assistir esse vídeo!!! Ri muito também. Thank you for sharing!😉👍🏼😀",Daniela G,2020-12-03T00:00:33Z
Pensei q era a casa da mãe doida  kkkkk,Eliane crys,2020-12-02T04:26:03Z
Que lindooo🙏🏻🙏🏻👏👏👏☺️😭,ADRIANA vitorino,2020-11-15T13:00:50Z
Lembrando que essa Família é Put* de uns Racistas.,Samuel Souza,2020-11-13T07:46:13Z
Chorei mesmo.,Taís Petry,2020-11-03T20:05:45Z
"Chama eles para visitarem o Brasil, e grava um vídeo com eles. Já estou ansioso para assistir!",Kaio Fernandes,2020-10-29T05:04:56Z
"Segunda vez vendo, segunda vez chorando",Milena Medeiros,2020-10-20T12:25:03Z
Eu chorei 😢,André Pereira,2020-10-19T17:03:58Z
Eu aqui chorando dois anos depois do seu reencontro 😭😂,Ellen Valeria Franco,2020-10-19T15:53:25Z
"Você foi muito corajosa em ficar na casa dessa família, no meu do nada, qdo só tinha 17 anos 😱<br>Eu iria pirar se a minha filha fizesse isso 🤪<br>Depois dessas recepções calorosas , como ainda podem dizer que os americanos estadunidenses são frios 🤓",MARCIA MARQUES,2020-10-18T22:35:39Z
"Que lindo , adoro seus videos",Josiane De Melo,2020-10-07T23:33:01Z
"Ahhh gente que amooor, me emocionei aqui. Rsrsr",Vampira🍷,2020-10-02T20:47:18Z
"AAAAAI QUE LEGAL MEU DEUS, EU N SEI PQ MAS TO CHORANDO, COM ESSA MÚSICA AINDA...<br>E to triste pq to com 20 anos e já sinto a síndrome do peter pan",Nathália,2020-09-26T15:19:55Z
"adorei!!! chorei junto, Camila .. Que legal a tua história &lt;3",Aline Konkevitz,2020-09-25T16:04:06Z
Bacana sua experiência e eu pude sentir a vibração top que foi,Taciane Revoredo,2020-09-23T03:04:41Z
"Nossa chorei muito que histórias lindas vc tem pra contar, quantas pessoas lindas existem por aí em cada cantinho do mundo só temos que ter a sorte de esbarrarmos nelas e vc foi uma contemplada.....Que Deus abençoe forte abraço.",Lucelia Rodrigues,2020-09-16T21:07:16Z
Eu já vi esse vídeo tantas vezes e me emocionei em todas ❤,Glau Rocha,2020-09-15T23:55:33Z
Chorei igual uma louca kkkkk...E ainda mais no final com essas fotos e a canção dos Beatles  😢😢😢,Fran soares,2020-09-12T23:06:20Z
eu choro igual um bebê smp q vejo esse vídeo,Agnes Moura,2020-09-07T18:16:11Z
"Achei seu canal hoje por acaso, adorei você Camila!! Emocionante esse reencontro.",Vera Milliet,2020-09-07T00:14:00Z
amei,Karen Carvalho,2020-09-05T07:39:06Z
"Eu to chorandooooo! Que vídeo mais emocionante, gente ❤️",Leila Agostini,2020-09-03T01:08:35Z
Ja é a terceira vez que to assistindo esse video e TODAS as vezes eu choro,Laisa Silva,2020-08-27T15:53:40Z
Que amor 💓!!! Qual o nome dessa música?,Aιlεѕ ραριllσи,2020-08-26T17:04:01Z
Que vídeo emocionante!!! ♥️,Má Soares,2020-08-25T20:39:09Z
"Chorei aqui, mano",Vicky WF,2020-08-21T12:16:51Z
Chorei litros! ❤️,Geiza Andrade,2020-08-14T23:17:22Z
"O quanto vale a pena ver seu agradecimento pelas pessoas, quanto vale a pena presenciar sua gratidao!! Parabéns!!",Mister M do Futebol,2020-08-14T04:18:37Z
Manoooo chorei que lindooo!,Diana Fernandes,2020-08-11T00:34:01Z
Deus Abençoe VCS Minha Linda Bençãos Boa Sorte...,Solidade Melo,2020-08-10T12:41:28Z
"<a href=""https://www.youtube.com/watch?v=dPEXVZDBhdQ&amp;t=4m00s"">4:00</a> chorei com a história, chorei com a música, chorei com tudoooo!",Valentina Pinheiro,2020-08-08T06:09:28Z
"O melhor vídeo desse canal! Chorei do início ao fim, principalmente com Blackbird &lt;3",Larissa Cavalcante,2020-08-07T19:13:36Z
"Ai meu Deus que delicia, fiquei super emocionada!",Luciana Lemos,2020-08-05T19:49:29Z
"Chorei demais com esse vídeo. Me imaginei indo visitar minha host family no futuro, é incrível o laço que a gente cria, é uma nova família mesmo. Sem dúvidas, fazer intercâmbio é uma das melhores experiências que alguém pode ter na vida.",Sabrina Costa,2020-08-02T20:50:51Z
"Toda vez que vejo esse vídeo eu choro. Não tem como, da pra sentir o amor entre eles, deixa o coração quentinho. &lt;3",Amanda Eichenberg,2020-07-29T23:40:05Z
EU NÃO CHOREI NÃO NÉ?!,Agnes Moura,2020-07-29T01:35:52Z
Nem chorei!!! Que bom que no fim de tudo voce conseguiu boas memorias!,Camila NYC,2020-07-24T21:17:55Z
Que família  uauuuu,Elizete Alves,2020-07-24T00:33:48Z
Camilla  suas histórias da um livro amei kkkkk Alegre,Elizete Alves,2020-07-24T00:33:12Z
Ownnnn que vídeo lindoooo,Caio Ubirajara,2020-07-21T22:46:45Z
Tô chorando... ;-;,Samara A.,2020-07-21T14:58:36Z
Eu quase chorei!! Tá... chorei!,Isabella Betoni,2020-07-20T15:54:10Z
Q família bacana ameii 😍😍😍✌🇧🇷,Núbia ferreira,2020-07-19T18:37:16Z
A verdade é que esse é meu vídeo favorito do canal desde quando descobri a quase dois anos e sempre que posso tô aqui revendo!! 😍😂,Klebs,2020-07-19T18:35:50Z
"Que lindo vídeo,que energia incrível ✨😰❤️",Dotozonaa Nunes,2020-07-19T01:10:23Z
"Tô emocionada aqui, aff kkk",Luana Velez,2020-07-13T16:56:29Z
Satisfeita Camila? Você me fez URRAR de tanto CHORAR  com esse vídeo.,Lidyanne Cristina,2020-07-10T20:28:15Z
"Caraaaa, a maioria das intercambista, não gostam das host family.... Credoo..",Grazy Souza,2020-07-10T08:12:51Z
EU ME ACABEI DE CHORAR MDS,Ana Caroline,2020-07-09T02:28:09Z
"Fiquei muito emocionada... Você é um exemplo para outras jovens que viajam e são arrogantes... Você mostrou que nunca devemos esquecer de quem foi bom para nós em um momento ruim... Parabéns, jamais perca a humildade e a gratidão...",Luciene Rocha,2020-07-06T17:22:03Z
carai mila eu chorei como se a experiência fosse minha KKKKKKK que reencontro mais lindo,Marcella Corrêa Oliveira,2020-07-06T02:29:48Z
Que emocionante!!! Deu até vontade de chorar quando a mom te viu,Moara Moreno,2020-07-02T20:17:00Z
"Que lindo esses reencontros ... ainda existe gente de bom coração nesse mundo, ainda bem !! 🌻🙏",Luly Lully,2020-06-30T16:07:17Z
Que lindo,Tatiana Pereira Lima Farias,2020-06-30T04:22:49Z
eu aqui em plena quarentena vendo esse video pela 4.235.259 vezes. E sonhando com minha rost family imaginaria em meu intercâmbio imaginario kkkkkkkkk,Fernando Souza,2020-06-27T23:57:32Z
Que emoção até chorei que coisa mais linda,Jaqueline Medeiros,2020-06-24T23:31:42Z
Eu chorei vendo (?),Bruna Rabelo,2020-06-24T02:14:04Z
Chorei,ei no,2020-06-21T17:56:34Z
"Eu fiz o mesmo que você, xará! Depois de 5 anos sem ver minha família de intercâmbio (pais e irmã), no extremo norte da Alemanha, voltei de surpresa pra casa deles ❤️ uma amiga da família que me ajudou: preparou tudo para que eles ficassem em casa dizendo que precisava falar com eles e foi me buscar no aeroporto e tudo. A emoção é realmente indescritível...",Camila Merhi,2020-06-18T00:33:15Z
Omg .... I am crying... how crazyyyy... 🇧🇷🙌🇺🇸,Adrian G,2020-06-17T04:27:53Z
vc me fez chorar,Sra. Ana Carolina,2020-06-16T16:29:00Z
Gente eu chorei nesse vídeo.... que experiência de vida .... não sei explicar... esse vídeo é incrível.,Alex Santos,2020-06-15T05:32:31Z
Meu Deus chorei muito 😍😍😍😍😍 amo demais seus vídeos,Isa Abreu,2020-06-15T04:33:59Z
QUE LINDOOOOO,Erica Santos,2020-06-13T01:02:37Z
"choreiiii vendo esse vídeo. Camila seus vídeos me enchem de vontade de ir viver a vida, me jogar no mundo kkkkkk TE AMO",Allyne Siqueira,2020-06-12T00:02:30Z
"Não sou canceriana, mas sou pisciana. Chorei tanto kkkkkkkkkkkkkkk Lindo!",Milena Monteiro,2020-06-11T20:28:01Z
"Eu passei EXATAMENTE pela mesma coisa!! Minha primeira família foi um pesadelo, e quem me acolheu foi uma colega de classe de biologia e lá fiquei até o fim do intercâmbio.",Fernanda Damy,2020-06-11T18:37:41Z
Eu abri o sorriso quando vocês se encontraram é sério fiquei feliz por você,bianca silva,2020-06-10T21:35:17Z
Chorei junto! Kkkk que emoção,Juliana Gomes,2020-06-10T03:19:45Z
Cara o primeiro intercâmbio é sempre muito especial ❤️,Anita Vargas,2020-06-09T13:02:28Z
Aiii que delícia ❤️,Anita Vargas,2020-06-09T13:01:27Z
O vídeo mais FOFO que eu vi nesse canal!!!!! 👏🏼👏🏼👏🏼👏🏼,Maritza Souza,2020-06-09T05:06:21Z
Eu chorando aq sem nunca ter visto ela kkkk aí gente q lindo,Duda_Nemer,2020-06-09T03:04:00Z
Que legal vc me fez chorar com a emoçao do reencontro,Rosimeire Cruz,2020-06-08T05:13:41Z
Adorei :),Clara de Mello e Souza Meth,2020-06-07T13:26:13Z
chorei,Dandani Souza,2020-06-07T04:48:23Z
Chorei igual criança hahahahaha,Mariana Spinola,2020-06-06T05:22:59Z
Chorei a rodo,Angelita Brito,2020-06-06T03:15:50Z
esse vídeo é tão lindo!! chorei,Evelyn Silva,2020-06-05T15:14:32Z
Aaa que vídeo mais lindo 😍,Débora Kelciauskas,2020-06-04T14:16:46Z
"Eu não tô chorando às 1:59am não, né?",Carla Santana,2020-06-04T04:59:17Z
Chorei  como se fosse minha família,Janaina Santiago,2020-06-03T20:46:27Z
"Meu Deus, dois anos depois e esse vídeo deixou meu ♥ quentinho",Carla Gomes,2020-06-03T13:17:19Z
Que história LINDA de reencontro!!!!,John Meira,2020-06-03T00:21:53Z
Que emocionante. Até chorei com o vosso encontro.,Claudia Dias,2020-06-02T10:22:49Z
Chorei. É lindo como Deus nos dá outras famílias além da nossa. É por isso que a bíblia diz que tem amigos mais chegados que irmãos. ❤️,Larissa Albuquerque,2020-06-02T01:01:45Z
"Eu amo de paixão esse vídeo! Acho lindo como vocês criaram um laço forte em meio aos desafios que você passou lá Mila, e é isso que importa no final! ❤️",Carol Coelho,2020-06-01T07:24:10Z
Eu aqui em 2020 chorando e sem conhecer 1/3 da história.,Rene Silva,2020-05-30T02:00:52Z
"Eu não canso de assistir esse vídeo, é tão bonito o afeto e laço que se criam &lt;3",Renato Ivens Gomes Feijó,2020-05-29T16:19:26Z
Me emocionei demais,Bianca Nogueira,2020-05-28T17:46:45Z
Lindo vídeo. Chorei horrores. Adoooorooooo vc❣,Flávia Dias,2020-05-28T15:06:24Z
"Que vídeo mais lindo!!!! Tenho assistido muitos vídeos seus, curto tudo mas não comento...esse não dava pra passar em branco! Até chorei!!!!!!!!!! 😭😭😭😭😭",Elisangela da Silva,2020-05-27T21:49:19Z
"Mano, só tô chorando aqui. ❤️ <br>Esse vídeo é aqueles que deixam o coração quentinho 🥺🥺🥺",Jeane F.,2020-05-27T18:48:24Z
Por isso que muitas pessoas dizem que intercâmbio vale muito a pena.❤️ vídeo muito lindo,Lari Rad,2020-05-26T20:17:57Z
Choro junto.. Não aguento  kkkkkkk lindo,Thaylann Ribeiro,2020-05-25T21:19:13Z
chorando aqui que nem uma criança,Maria Clara Silva,2020-05-24T19:00:06Z
"<a href=""https://www.youtube.com/watch?v=dPEXVZDBhdQ&amp;t=3m21s"">3:21</a> / 2020 e eu aqui emocionadaa",Taina Magno,2020-05-24T06:22:25Z
Ahhhhhh que lindossss! Super amei ❤ ps: sim o aeroporto de atlanta é perfeito pra se perder. Eu mesma peguei o subway errado uma vez em voo de conexao e quase perdi o voo pois era em outro terminal. Kkkkk,Jullie Søren,2020-05-23T09:57:46Z
